ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
0,Alabama,2020-04-12,-2.7495169612943282e-05,-0.0680708422513395,,-0.026859273498350905,-0.26573421012043125,-0.41029624385661073,-0.005882560518776227,-0.114891636637456,-1.2964168895004686,0.14353953592975224
1,Alaska,2020-04-12,-0.0005443115904620427,-3.558620548320148,-2.554107357219769,-0.3936329868046507,-0.7712598671259251,-0.9140767663925734,-2.4247902386237095,1.088650212834817,-0.43214090662883364,0.14353953592975732
2,Arizona,2020-04-12,-1.4302032148181195e-05,-0.02131815491897677,,-0.010639358152817878,-0.2049157365252169,-0.27836033899592516,,0.03986933088191447,-1.298470457156289,
3,Arkansas,2020-04-12,-5.62692673007833e-05,-0.16061294355073186,-0.06771162839411773,-0.3683117178763688,-0.33626238982091045,-0.5015540438015967,-0.026175258732571535,1.6482770394446384,-0.9796432360104687,0.1435395359297519
4,California,2020-04-12,-5.082302967222095e-06,-0.012885375633114702,,-0.0032810120594733982,-0.39542760415861644,-0.030613717120675312,0.37132938147909367,-0.0632606138206733,-0.7755894984363014,0.14353953592979532
5,Colorado,2020-04-12,-0.00012427731302131346,-0.1511219659250551,,-0.08547861264190555,-1.4172421704425302,-0.3693359827935079,-0.03861130122942607,-0.7194486033391864,-1.3641226269988893,0.14353953592975635
6,Connecticut,2020-04-12,-0.0002815845374249444,-0.08115569497878879,,-0.2994007392929742,-1.9761778435716695,-0.34498642371670785,-0.023821809139074834,-2.5262760042211756,-0.7882543613095211,0.1435395359297446
7,Delaware,2020-04-12,-0.00046489733883778306,-0.3432564328409752,-0.8051917415102156,-0.9044076066551195,-0.8911144830215371,-1.667339454600198,-4.524904673662373,-3.51432213944556,-1.0405132714990342,0.14353953592986882
8,Florida,2020-04-12,-4.437726460878342e-06,-0.011588475802425969,,-0.002889703719136716,-0.18919462551418173,-0.07653608435864982,-0.0034820121270257237,-0.1850995494495225,-1.0543511551771336,0.14353953592974902
9,Georgia,2020-04-12,-1.3810537359091868e-05,-0.03572441372318437,,-0.00889847652864807,-0.28946125216820506,-0.15930806051398555,-0.006298855165627862,0.09503256901077317,-1.0878435978650058,0.14353953592975327
10,Hawaii,2020-04-12,-0.00032034163178580556,-2.7959146809260798,-2.399525221378033,-0.12065756961948805,-0.8928010632596536,-2.3682965367112327,-0.2757457380867483,-0.10433746337776269,-2.1489816089321905,0.14353953592974508
11,Idaho,2020-04-12,-8.619092291886503e-05,-0.3836053938889661,,-0.07037008840101955,-0.30187000180456447,-1.3498265594543644,-0.07335628356759935,-0.020732630252461328,-1.5523299195943847,0.1435395359297552
12,Illinois,2020-04-12,-3.414849335264877e-05,-0.028215357162916222,,-0.022544173001301782,-0.8812924851241086,-0.09813530716625286,-1.4598726986390993,-3.4504007513955024,-0.8021400330095294,0.14353953592978205
13,Indiana,2020-04-12,-6.917893802027175e-05,-0.07890278747462467,,-0.11852909772366273,-0.9236383875836157,-0.3886713631668817,,-0.6535093102409594,-1.6817845374389653,
14,Iowa,2020-04-12,-9.013851072000197e-05,-0.1712979940080912,-0.10909786427054247,-0.4744501041393684,-0.5821369841270437,-0.6364724440761792,-4.39877484678944,1.3999090476098621,-1.3111220097094964,0.1435395359298136
15,Kansas,2020-04-12,-0.00011486703226346159,-0.5704526805145052,,-0.0759551413324027,-0.6748567327263402,-0.9821476313508984,-0.07671885855192859,1.0891405489616865,-1.866317372647294,0.1435395359297581
16,Kentucky,2020-04-12,-9.263211799750538e-05,-0.24264248647402772,-0.6029982929753003,-0.07048427961346687,-0.8358884267838721,-0.4936830951830073,-0.05576993656100536,0.5642995472167786,-1.4471844225510684,0.1435395359297491
17,Louisiana,2020-04-12,-2.7434841511430632e-05,-0.065133955513968,,0.0033476588883440857,-0.251031408635348,-0.18671012109055607,2.4923908450935093,-0.2748173429444368,-0.5565009038530759,0.1435395359298657
